date,tot_ret,price,
1/3/1950,3.35,16.66,
1/4/1950,3.39,16.85,0.011404562
1/5/1950,3.4,16.93,0.004747774
1/6/1950,3.41,16.98,0.002953337
1/9/1950,3.43,17.08,0.005889282
1/10/1950,3.42,17.03,-0.0029274
1/11/1950,3.44,17.09,0.003523194
1/12/1950,3.37,16.76,-0.019309538
1/13/1950,3.35,16.67,-0.005369928
1/16/1950,3.37,16.72,0.0029994
1/17/1950,3.39,16.86,0.008373206
1/18/1950,3.39,16.85,-0.00059312
1/19/1950,3.4,16.87,0.001186944
1/20/1950,3.4,16.9,0.001778305
1/23/1950,3.41,16.92,0.001183432
1/24/1950,3.4,16.86,-0.003546099
1/25/1950,3.37,16.74,-0.007117438
1/26/1950,3.37,16.73,-0.000597372
1/27/1950,3.39,16.82,0.005379558
1/30/1950,3.43,17.02,0.011890606
1/31/1950,3.44,17.05,0.001762632
2/1/1950,3.44,17.05,0
2/2/1950,3.48,17.23,0.010557185
2/3/1950,3.49,17.29,0.003482298
2/6/1950,3.5,17.32,0.001735107
2/7/1950,3.48,17.23,-0.005196305
2/8/1950,3.48,17.21,-0.001160766
2/9/1950,3.49,17.28,0.004067403
2/10/1950,3.48,17.24,-0.002314815
2/14/1950,3.45,17.06,-0.010440835
2/15/1950,3.45,17.06,0
2/16/1950,3.44,16.99,-0.004103165
2/17/1950,3.47,17.15,0.009417304
2/20/1950,3.48,17.2,0.002915452
2/21/1950,3.48,17.17,-0.001744186
2/23/1950,3.48,17.21,0.002329645
2/24/1950,3.5,17.28,0.004067403
2/27/1950,3.5,17.28,0
2/28/1950,3.49,17.22,-0.003472222
3/1/1950,3.49,17.24,0.00116144
3/2/1950,3.49,17.23,-0.000580046
3/3/1950,3.5,17.29,0.003482298
3/6/1950,3.51,17.32,0.001735107
3/7/1950,3.49,17.2,-0.006928406
3/8/1950,3.49,17.19,-0.000581395
3/9/1950,3.46,17.07,-0.006980803
3/10/1950,3.47,17.09,0.001171646
3/13/1950,3.47,17.12,0.001755413
3/14/1950,3.5,17.25,0.007593458
3/15/1950,3.54,17.45,0.011594203
3/16/1950,3.55,17.49,0.002292264
3/17/1950,3.55,17.45,-0.002287021
3/20/1950,3.54,17.44,-0.000573066
3/21/1950,3.55,17.45,0.000573394
3/22/1950,3.57,17.55,0.005730659
3/23/1950,3.57,17.56,0.000569801
3/24/1950,3.57,17.56,0
3/27/1950,3.55,17.46,-0.005694761
3/28/1950,3.57,17.53,0.004009164
3/29/1950,3.55,17.44,-0.005134056
3/30/1950,3.52,17.3,-0.008027523
3/31/1950,3.52,17.29,-0.000578035
4/3/1950,3.57,17.53,0.013880856
4/4/1950,3.58,17.55,0.001140901
4/5/1950,3.59,17.63,0.004558405
4/6/1950,3.62,17.78,0.008508225
4/10/1950,3.64,17.85,0.003937008
4/11/1950,3.62,17.75,-0.005602241
4/12/1950,3.66,17.94,0.010704225
4/13/1950,3.67,17.98,0.002229654
4/14/1950,3.67,17.96,-0.001112347
4/17/1950,3.65,17.88,-0.004454343
4/18/1950,3.68,18.03,0.008389262
4/19/1950,3.68,18.05,0.001109262
4/20/1950,3.67,17.93,-0.006648199
4/21/1950,3.67,17.96,0.001673173
4/24/1950,3.65,17.83,-0.007238307
4/25/1950,3.65,17.83,0
4/26/1950,3.64,17.76,-0.003925967
4/27/1950,3.66,17.86,0.005630631
4/28/1950,3.68,17.96,0.005599104
5/1/1950,3.73,18.22,0.014476615
5/2/1950,3.71,18.11,-0.006037322
5/3/1950,3.75,18.27,0.008834898
5/4/1950,3.72,18.12,-0.008210181
5/5/1950,3.74,18.22,0.005518764
5/8/1950,3.75,18.27,0.002744237
5/9/1950,3.75,18.27,0
5/10/1950,3.76,18.29,0.001094691
5/11/1950,3.76,18.29,0
5/12/1950,3.74,18.18,-0.006014215
5/15/1950,3.75,18.26,0.00440044
5/16/1950,3.79,18.44,0.009857612
5/17/1950,3.81,18.52,0.004338395
5/18/1950,3.82,18.56,0.002159827
5/19/1950,3.84,18.68,0.006465517
5/22/1950,3.83,18.6,-0.004282655
5/23/1950,3.85,18.71,0.005913978
5/24/1950,3.85,18.69,-0.001068947
5/25/1950,3.85,18.69,0
5/26/1950,3.85,18.67,-0.001070091
5/29/1950,3.86,18.72,0.002678093
5/31/1950,3.87,18.78,0.003205128
6/1/1950,3.87,18.77,-0.000532481
6/2/1950,3.88,18.79,0.00106553
6/5/1950,3.84,18.6,-0.010111762
6/6/1950,3.9,18.88,0.015053763
6/7/1950,3.91,18.93,0.002648305
6/8/1950,3.96,19.14,0.011093502
6/9/1950,3.98,19.26,0.006269592
6/12/1950,4.01,19.4,0.007268951
6/13/1950,3.98,19.25,-0.007731959
6/14/1950,3.93,18.98,-0.014025974
6/15/1950,3.92,18.93,-0.002634352
6/16/1950,3.93,18.97,0.002113048
6/19/1950,3.92,18.92,-0.002635741
6/20/1950,3.9,18.83,-0.004756871
6/21/1950,3.94,19,0.009028147
6/22/1950,3.97,19.16,0.008421053
6/23/1950,3.97,19.14,-0.001043841
6/26/1950,3.76,18.11,-0.053814002
6/27/1950,3.72,17.91,-0.011043622
6/28/1950,3.76,18.11,0.011166946
6/29/1950,3.62,17.44,-0.036996135
6/30/1950,3.67,17.69,0.014334862
7/3/1950,3.67,17.64,-0.002826456
7/5/1950,3.7,17.81,0.009637188
7/6/1950,3.72,17.91,0.005614823
7/7/1950,3.68,17.67,-0.013400335
7/10/1950,3.66,17.59,-0.004527448
7/11/1950,3.6,17.32,-0.01534963
7/12/1950,3.51,16.87,-0.025981524
7/13/1950,3.48,16.69,-0.010669828
7/14/1950,3.51,16.87,0.010784901
7/17/1950,3.48,16.68,-0.011262596
7/18/1950,3.56,17.06,0.022781775
7/19/1950,3.62,17.36,0.017584994
7/20/1950,3.67,17.61,0.014400922
7/21/1950,3.67,17.59,-0.001135718
7/24/1950,3.65,17.48,-0.006253553
7/25/1950,3.6,17.23,-0.014302059
7/26/1950,3.61,17.27,0.002321532
7/27/1950,3.66,17.5,0.013317892
7/28/1950,3.7,17.69,0.010857143
7/31/1950,3.73,17.84,0.008479367
8/1/1950,3.77,18.02,0.010089686
8/2/1950,3.75,17.95,-0.003884573
8/3/1950,3.76,17.99,0.002228412
8/4/1950,3.8,18.14,0.008337966
8/7/1950,3.85,18.41,0.014884234
8/8/1950,3.87,18.46,0.002715915
